,Satznummer_Auto,Artikeltext_Auto,"V9_KKI_Relevanz 
0 = nicht relevant, 1 = relevant","V10_Erwähnung_KKI_Angebot 
0 = nicht relevant, 1 = wird nicht erwähnt, 2 = wird erwähnt","V11_Bewertung_KKI 
0 = nicht relevant, 1 = negativ, 2 = positiv, 3= neutral","V12_Frame_Risiko_Fortschritt_Gemischt 
0 = nicht relevant, 1 = Risiko, 2 = Fortschritt, 3 = gemischt, 33 = kein Frame","V13_Risiko_Typ 
0 = nicht relevant, 1 =   Gesellschaftsrisiken, 2 =  Sicherheitsrisiken, 3 = Wirtschaftsrisiken, 4 = Informationsrisiken, 5 = Existentielle Risiken, 77 = kein konkretes Risiko, 99 = mehrere Risiken, 88 = anderes Risiko, 33 = kein Risiko","V13_2_Risiko_Typ_Anderes 
offenes Codieren","V14_Fortschritt_Typ 
0 = nicht relevant, 1 = Gesellschaftlicher Fortschritt, 2 = Gesundheitlicher Fortschritt, 3 = Wirtschaftlicher Fortschritt, 4 = Technologischer Fortschritt, 5 = Fortschritt zum Wohle der Menschheit, 77 = kein konkreter Fortschritt, 99 = mehrere Fortschrittstypen, 88 = anderer Fortschritt, 33 = kein Fortschritt","V14_2_Fortschritt_Typ_Anderes 
offenes Codieren",article_id,prefix,suffix
19,20,"Verschwimmen die Grenzen zwischen Menschen, Tieren und Maschinen mit der fortschreitenden Entwicklung künstlicher Intelligenz?",1,1,3,33,33,0,33,0.0,1544,"Und das ist eben diese Fleischlichkeit. Sie ist nichts spezifisch Menschliches, wir teilen diese Fleischlichkeit mit allen Lebewesen, in gewisser Weise selbst mit pflanzlichen. Und auch, wenn wir Teile ersetzen, werden diese auf unsere Fleischlichkeit hin angepasst. Es ist also ein bisschen wie bei Frankensteins Monster, wir experimentieren mit unserer Fleischlichkeit herum. Und das ist auch kein modernes Phänomen, man denke etwa an chirurgische Eingriffe, die seit Menschengedenken aus ästhetischen, medizinischen und religiösen Gründen stattfinden.","Ich glaube, dass sie jetzt offensichtlicher verschwimmen. Dass die Grenzen immer sehr lose waren, sieht man schon an den Diskursen, die Aristoteles führt. Aristoteles schreibt, dass es die Befreiung wäre, wenn es Maschinen gäbe, die unsere lästigen und immer gleichen Arbeiten übernehmen würden. Er fantasiert davon und sagt, dass wir - von der Last der Notwendigkeit befreit - erst richtig zu Menschen werden können."
20,21,"Ich glaube, dass sie jetzt offensichtlicher verschwimmen.",1,1,3,33,33,0,33,0.0,1544,"Sie ist nichts spezifisch Menschliches, wir teilen diese Fleischlichkeit mit allen Lebewesen, in gewisser Weise selbst mit pflanzlichen. Und auch, wenn wir Teile ersetzen, werden diese auf unsere Fleischlichkeit hin angepasst. Es ist also ein bisschen wie bei Frankensteins Monster, wir experimentieren mit unserer Fleischlichkeit herum. Und das ist auch kein modernes Phänomen, man denke etwa an chirurgische Eingriffe, die seit Menschengedenken aus ästhetischen, medizinischen und religiösen Gründen stattfinden. Verschwimmen die Grenzen zwischen Menschen, Tieren und Maschinen mit der fortschreitenden Entwicklung künstlicher Intelligenz?","Dass die Grenzen immer sehr lose waren, sieht man schon an den Diskursen, die Aristoteles führt. Aristoteles schreibt, dass es die Befreiung wäre, wenn es Maschinen gäbe, die unsere lästigen und immer gleichen Arbeiten übernehmen würden. Er fantasiert davon und sagt, dass wir - von der Last der Notwendigkeit befreit - erst richtig zu Menschen werden können. Und das ist heute anders?"
21,22,"Dass die Grenzen immer sehr lose waren, sieht man schon an den Diskursen, die Aristoteles führt.",1,1,3,33,33,0,33,0.0,1544,"Und auch, wenn wir Teile ersetzen, werden diese auf unsere Fleischlichkeit hin angepasst. Es ist also ein bisschen wie bei Frankensteins Monster, wir experimentieren mit unserer Fleischlichkeit herum. Und das ist auch kein modernes Phänomen, man denke etwa an chirurgische Eingriffe, die seit Menschengedenken aus ästhetischen, medizinischen und religiösen Gründen stattfinden. Verschwimmen die Grenzen zwischen Menschen, Tieren und Maschinen mit der fortschreitenden Entwicklung künstlicher Intelligenz? Ich glaube, dass sie jetzt offensichtlicher verschwimmen.","Aristoteles schreibt, dass es die Befreiung wäre, wenn es Maschinen gäbe, die unsere lästigen und immer gleichen Arbeiten übernehmen würden. Er fantasiert davon und sagt, dass wir - von der Last der Notwendigkeit befreit - erst richtig zu Menschen werden können. Und das ist heute anders? Aristoteles entwarf ein ganz anderes Szenario, das auch ein ganz anderes Menschenbild vor Augen hatte."
28,29,"Wir müssen uns nur anschauen, in welchen Händen oder auch in welchen Machtkonzentrationen sich künstliche Intelligenzen befinden.",1,1,3,1,99,0,33,0.0,1544,"Er fantasiert davon und sagt, dass wir - von der Last der Notwendigkeit befreit - erst richtig zu Menschen werden können. Und das ist heute anders? Aristoteles entwarf ein ganz anderes Szenario, das auch ein ganz anderes Menschenbild vor Augen hatte. Unseres ist sehr stark in Dystopien gefangen. Und das hat bisweilen gute Gründe.","Was uns fehlt, sind positive Szenarien. Szenarien darüber, wie künstliche Intelligenz unser Leben verbessern könnte, wie wir es zur Weiterentwicklung von Sozialem oder überhaupt des Menschen einsetzen können - jenseits von posthumanistischen Phantasien. Momentan reiben wir uns in Grabenkämpfen auf, wir wollen ein bisschen von dieser menschlichen Besonderheit retten. Man sieht den menschlichen Geist als bedroht an, ob im Journalismus oder etwa in der Musik."
30,31,"Szenarien darüber, wie künstliche Intelligenz unser Leben verbessern könnte, wie wir es zur Weiterentwicklung von Sozialem oder überhaupt des Menschen einsetzen können - jenseits von posthumanistischen Phantasien.",1,1,2,2,33,0,77,0.0,1544,"Aristoteles entwarf ein ganz anderes Szenario, das auch ein ganz anderes Menschenbild vor Augen hatte. Unseres ist sehr stark in Dystopien gefangen. Und das hat bisweilen gute Gründe. Wir müssen uns nur anschauen, in welchen Händen oder auch in welchen Machtkonzentrationen sich künstliche Intelligenzen befinden. Was uns fehlt, sind positive Szenarien.","Momentan reiben wir uns in Grabenkämpfen auf, wir wollen ein bisschen von dieser menschlichen Besonderheit retten. Man sieht den menschlichen Geist als bedroht an, ob im Journalismus oder etwa in der Musik. Wobei ich übrigens glaube, dass diese Angst vollkommen unbegründet ist. Die Angst vor dem Verlust der menschlichen Einzigartigkeit ist unbegründet?"
31,32,"Momentan reiben wir uns in Grabenkämpfen auf, wir wollen ein bisschen von dieser menschlichen Besonderheit retten.",1,1,3,33,33,0,33,0.0,1544,"Unseres ist sehr stark in Dystopien gefangen. Und das hat bisweilen gute Gründe. Wir müssen uns nur anschauen, in welchen Händen oder auch in welchen Machtkonzentrationen sich künstliche Intelligenzen befinden. Was uns fehlt, sind positive Szenarien. Szenarien darüber, wie künstliche Intelligenz unser Leben verbessern könnte, wie wir es zur Weiterentwicklung von Sozialem oder überhaupt des Menschen einsetzen können - jenseits von posthumanistischen Phantasien.","Man sieht den menschlichen Geist als bedroht an, ob im Journalismus oder etwa in der Musik. Wobei ich übrigens glaube, dass diese Angst vollkommen unbegründet ist. Die Angst vor dem Verlust der menschlichen Einzigartigkeit ist unbegründet? Man kann ganz eindeutig sagen, dass die Maschine immer einen Zweck erfüllt."
32,33,"Man sieht den menschlichen Geist als bedroht an, ob im Journalismus oder etwa in der Musik.",1,1,1,1,3,0,33,0.0,1544,"Und das hat bisweilen gute Gründe. Wir müssen uns nur anschauen, in welchen Händen oder auch in welchen Machtkonzentrationen sich künstliche Intelligenzen befinden. Was uns fehlt, sind positive Szenarien. Szenarien darüber, wie künstliche Intelligenz unser Leben verbessern könnte, wie wir es zur Weiterentwicklung von Sozialem oder überhaupt des Menschen einsetzen können - jenseits von posthumanistischen Phantasien. Momentan reiben wir uns in Grabenkämpfen auf, wir wollen ein bisschen von dieser menschlichen Besonderheit retten.","Wobei ich übrigens glaube, dass diese Angst vollkommen unbegründet ist. Die Angst vor dem Verlust der menschlichen Einzigartigkeit ist unbegründet? Man kann ganz eindeutig sagen, dass die Maschine immer einen Zweck erfüllt. Insofern ist sie nicht wie eine andere Person für mich, sie ist kein Selbstzweck."
33,34,"Wobei ich übrigens glaube, dass diese Angst vollkommen unbegründet ist.",1,1,3,33,0,0,33,0.0,1544,"Wir müssen uns nur anschauen, in welchen Händen oder auch in welchen Machtkonzentrationen sich künstliche Intelligenzen befinden. Was uns fehlt, sind positive Szenarien. Szenarien darüber, wie künstliche Intelligenz unser Leben verbessern könnte, wie wir es zur Weiterentwicklung von Sozialem oder überhaupt des Menschen einsetzen können - jenseits von posthumanistischen Phantasien. Momentan reiben wir uns in Grabenkämpfen auf, wir wollen ein bisschen von dieser menschlichen Besonderheit retten. Man sieht den menschlichen Geist als bedroht an, ob im Journalismus oder etwa in der Musik.","Die Angst vor dem Verlust der menschlichen Einzigartigkeit ist unbegründet? Man kann ganz eindeutig sagen, dass die Maschine immer einen Zweck erfüllt. Insofern ist sie nicht wie eine andere Person für mich, sie ist kein Selbstzweck. Die Maschine ist kein Du, sondern ein Es."
35,36,"Man kann ganz eindeutig sagen, dass die Maschine immer einen Zweck erfüllt.",1,1,3,33,33,0,33,0.0,1544,"Szenarien darüber, wie künstliche Intelligenz unser Leben verbessern könnte, wie wir es zur Weiterentwicklung von Sozialem oder überhaupt des Menschen einsetzen können - jenseits von posthumanistischen Phantasien. Momentan reiben wir uns in Grabenkämpfen auf, wir wollen ein bisschen von dieser menschlichen Besonderheit retten. Man sieht den menschlichen Geist als bedroht an, ob im Journalismus oder etwa in der Musik. Wobei ich übrigens glaube, dass diese Angst vollkommen unbegründet ist. Die Angst vor dem Verlust der menschlichen Einzigartigkeit ist unbegründet?","Insofern ist sie nicht wie eine andere Person für mich, sie ist kein Selbstzweck. Die Maschine ist kein Du, sondern ein Es. Das Spannende ist die Frage, wie viel Bedeutung oder wie viel Einfluss dieses Es auf unser Leben hat. Ich glaube, das ist es der Punkt, wo das Unbehagen entsteht."
37,38,"Die Maschine ist kein Du, sondern ein Es.",1,1,3,33,33,0,33,0.0,1544,"Man sieht den menschlichen Geist als bedroht an, ob im Journalismus oder etwa in der Musik. Wobei ich übrigens glaube, dass diese Angst vollkommen unbegründet ist. Die Angst vor dem Verlust der menschlichen Einzigartigkeit ist unbegründet? Man kann ganz eindeutig sagen, dass die Maschine immer einen Zweck erfüllt. Insofern ist sie nicht wie eine andere Person für mich, sie ist kein Selbstzweck.","Das Spannende ist die Frage, wie viel Bedeutung oder wie viel Einfluss dieses Es auf unser Leben hat. Ich glaube, das ist es der Punkt, wo das Unbehagen entsteht. Wenn wir sehen, dass wir stärker auf die Maschine angewiesen sind, dass sie uns kontrolliert, uns auswertet. Aber auch das macht die Maschine ja nicht aus einem Eigeninteresse heraus, dahinter stehen Konzerne und hinter denen stehen wiederum Menschen."
